,time,volume
0,0.25,8044
1,0.5,7367
2,0.5,4923
3,0.67,160
4,1.0,22191
5,1.0,5463
6,1.0,4386
7,1.0,5169
8,1.0,12852
9,1.0,12628
10,1.0,1396
11,1.0,7239
12,1.0,7317
13,1.0,12291
14,1.0,5080
15,1.0,5951
16,1.0,15272
17,1.5,398
18,1.5,10154
19,1.5,746
20,1.5,3216
21,2.0,3974
22,2.0,10390
23,2.0,12949
24,2.0,6480
25,2.0,5848
26,3.0,15345
27,3.0,9653
28,3.0,16707
29,3.0,10227
30,3.0,1091
31,3.0,5318
32,3.0,10197
33,3.0,3327
34,3.0,8178
35,3.0,9694
36,3.0,7286
37,3.58,3943.0
38,4.0,4242
39,4.0,12087
40,5.0,7667
41,5.0,2679
42,5.0,16801
43,5.0,9317
44,5.0,47392
45,5.93,6081.0
46,6.0,1500
47,6.1,527.0
48,7.0,9073
49,8.05,4015.0
50,9.0,11107
51,9.0,20931
52,9.5,8814
53,9.65,10374.0
54,10.0,23528
55,10.0,3955
56,10.0,11479
57,13.43,11371.0
58,13.77,6094.0
59,14.62,8452.0
60,15.0,22355.0
61,15.18,9541.0
62,15.82,10710.0
63,16.0,12104.0
64,16.22,16033.0
65,16.55,1776.0
66,16.98,18956.0
67,17.15,3642.0
68,17.67,19517.0
69,18.28,13043.0
70,18.32,16594.0
71,18.4,1154.0
72,19.65,18574.0
73,20.57,13771.0
74,20.82,9150.0
75,20.87,21633.0
76,21.47,8707.0
77,21.67,18889.0
78,23.4,19434.0
79,24.1,11074.0
80,24.18,17400.0
81,25.48,6974.0
82,25.93,20132.0
83,26.08,11482.0
84,26.47,23182.0
85,26.47,9249.0
86,26.6,4024.0
87,26.8,6752.0
88,27.85,6525.0
89,28.32,5065.0
90,28.92,15664.0
91,29.28,19022.0
92,29.37,7296.0
93,30.42,40975.0
94,30.8,6706.0
95,31.23,552.0
96,31.92,8635.0
97,33.48,28785.0
98,34.3,6240.0
99,34.73,6033.0
100,34.75,13051.0
101,36.32,233.0
102,37.73,21244.0
103,39.33,23424.0
104,39.5,35116.0
105,42.52,30933.0
106,42.63,18649.0
107,43.52,27870.0
108,46.12,3226.0
109,49.1,12524.0
110,49.33,9355.0
111,54.88,1169.0
112,58.08,23317.0
113,60.78,16984.0
114,63.88,11581.0
115,67.47,27520.0
116,68.18,22570.0
117,83.85,9540.0
118,85.42,30080.0
119,87.78,4992.0
120,87.98,9911.0
121,94.98,18694.0
122,97.1,18251.0
123,97.95,12898.0
124,100.85,18164.0
125,110.78,22328.0
126,113.1,29340.0
127,119.77,19447.0
128,122.6,20385.0
129,125.43,2946.0
130,126.0,15033.0
131,127.53,11560.0
132,135.58,30637.0
133,145.05,11741.0
134,146.25,7129.0
135,171.4,1316.0
136,171.87,440.0
137,177.68,23846.0
138,178.6,21325.0
139,179.38,6076.0
140,180.75,21970.0
141,181.28,39377.0
142,186.25,16510.0
143,188.57,24644.0
144,194.32,15231.0
145,197.23,3191.0
146,200.32,2378.0
147,206.75,14763.0
148,211.4,10274.0
149,218.7,9754.0
150,227.5,5204.0
151,229.6,26813.0
152,238.12,1488.0
153,239.2,31092.0
154,250.03,18389.0
155,254.62,12735.0
156,255.12,11687.0
157,263.8,8693.0
158,266.95,189.0
159,271.17,3258.0
160,276.37,5810.0
161,278.13,38180.0
162,280.45,4054.0
163,291.32,20041.0
164,296.9,27745.0
165,297.23,1124.0
166,297.95,15157.0
167,303.5,33686.0
168,307.32,9374.0
169,312.02,1736.0
170,314.53,3744.0
171,316.77,19750.0
172,319.93,8175.0
173,321.58,1794.0
174,332.58,13.0
175,333.57,8820.0
176,348.28,2490.0
177,375.9,19245.0
178,379.62,13138.0
179,382.53,7061.0
180,397.63,34625.0
181,398.88,14406.0
182,400.77,26006.0
183,423.5,231.0
184,448.27,4603.0
185,452.53,2503.0
186,460.32,0.0
187,481.42,10975.0
188,513.47,7072.0
189,520.43,28862.0
190,547.28,6400.0
191,571.9,2735.0
192,591.47,4432.0
193,595.65,0.0
194,623.95,32.0
195,728.72,0.0
196,763.47,1754.0
197,770.53,625.0
198,805.88,1549.0
199,845.55,0.0
200,951.55,0.0
201,956.02,633.0
202,960.65,0.0
203,1155.2,53.0
204,1247.03,0.0
205,1668.34,0.0
206,1784.37,0.0
207,2752.63,0.0
208,4307.58,72247.0
209,4327.02,0.0
