,time,volume
0,0.25,8044
1,0.5,4923
2,0.5,7367
3,0.67,160
4,1.0,5463
5,1.0,5169
6,1.0,7317
7,1.0,22191
8,1.0,5080
9,1.0,7239
10,1.0,1396
11,1.0,5951
12,1.5,746
13,1.5,10154
14,1.5,398
15,2.0,3974
16,2.0,10390
17,2.0,5848
18,2.0,12949
19,3.0,10197
20,3.0,8178
21,3.0,5318
22,3.0,3327
23,3.0,9694
24,3.0,10227
25,3.58,3943.0
26,4.0,4242
27,4.0,12087
28,5.0,9317
29,5.0,2679
30,5.0,7667
31,5.93,6081.0
32,6.0,1500
33,6.1,527.0
34,8.05,4015.0
35,9.5,8814
36,9.65,10374.0
37,10.0,3955
38,10.0,11479
39,13.77,6094.0
40,14.62,8452.0
41,16.0,12104.0
42,16.55,1776.0
43,16.98,18956.0
44,17.15,3642.0
45,18.28,13043.0
46,18.4,1154.0
47,19.65,18574.0
48,20.57,13771.0
49,20.82,9150.0
50,21.47,8707.0
51,21.67,18889.0
52,25.48,6974.0
53,25.93,20132.0
54,26.08,11482.0
55,26.47,9249.0
56,26.6,4024.0
57,26.8,6752.0
58,27.85,6525.0
59,28.32,5065.0
60,28.92,15664.0
61,29.37,7296.0
62,30.8,6706.0
63,31.23,552.0
64,31.92,8635.0
65,34.3,6240.0
66,34.73,6033.0
67,36.32,233.0
68,46.12,3226.0
69,49.1,12524.0
70,49.33,9355.0
71,54.88,1169.0
72,60.78,16984.0
73,63.88,11581.0
74,68.18,22570.0
75,83.85,9540.0
76,87.98,9911.0
77,97.1,18251.0
78,100.85,18164.0
79,119.77,19447.0
80,122.6,20385.0
81,125.43,2946.0
82,127.53,11560.0
83,145.05,11741.0
84,146.25,7129.0
85,171.4,1316.0
86,171.87,440.0
87,179.38,6076.0
88,180.75,21970.0
89,186.25,16510.0
90,194.32,15231.0
91,197.23,3191.0
92,200.32,2378.0
93,206.75,14763.0
94,218.7,9754.0
95,227.5,5204.0
96,238.12,1488.0
97,255.12,11687.0
98,263.8,8693.0
99,266.95,189.0
100,271.17,3258.0
101,276.37,5810.0
102,280.45,4054.0
103,291.32,20041.0
104,297.23,1124.0
105,297.95,15157.0
106,307.32,9374.0
107,312.02,1736.0
108,314.53,3744.0
109,321.58,1794.0
110,332.58,13.0
111,333.57,8820.0
112,348.28,2490.0
113,382.53,7061.0
114,423.5,231.0
115,448.27,4603.0
116,452.53,2503.0
117,460.32,0.0
118,481.42,10975.0
119,513.47,7072.0
120,571.9,2735.0
121,595.65,0.0
122,623.95,32.0
123,728.72,0.0
124,763.47,1754.0
125,770.53,625.0
126,845.55,0.0
127,956.02,633.0
128,960.65,0.0
129,1155.2,53.0
130,1668.34,0.0
131,2752.63,0.0
132,4327.02,0.0
