,time,volume
0,0.5,15164
1,1.0,13198
2,1.5,29318
3,2.0,16139
4,2.5,48919
5,6.53,21082.0
6,7.43,82848.0
7,8.0,18378
8,8.28,57898.0
9,10.0,7625
10,11.35,40785.0
11,24.0,97503
12,25.98,53924.0
13,27.77,9134.0
14,29.18,28012.0
15,33.03,40860.0
16,35.3,55014.0
17,42.5,45743.0
18,47.87,95384.0
19,56.88,20963.0
20,71.87,69798.0
21,94.13,99131.0
22,107.15,77423.0
23,121.63,81745.0
24,129.95,104295.0
25,132.12,81747.0
26,136.27,63043.0
27,148.28,54349.0
28,172.18,50859.0
29,179.15,94712.0
30,191.87,89272.0
31,259.75,107793.0
32,271.6,61937.0
33,285.02,127535.0
34,285.65,24730.0
35,297.97,79204.0
36,310.75,168138.0
37,383.6,115006.0
38,425.55,126558.0
39,434.08,49420.0
40,465.27,94574.0
41,473.13,115761.0
42,556.13,125247.0
43,678.55,67780.0
44,968.35,117530.0
45,975.1,8307.0
46,978.02,47223.0
