,time,volume
0,0.5,17339
1,0.67,18799
2,1.0,15272
3,1.0,4386
4,1.0,12291
5,1.0,12852
6,1.0,15417
7,1.0,33837
8,1.0,12628
9,1.5,3216
10,1.5,9695
11,2.0,9003
12,2.0,15254
13,2.0,11533
14,2.0,16764
15,2.0,14353
16,2.0,6480
17,2.0,1084
18,3.0,23526
19,3.0,1091
20,3.0,7286
21,3.0,9653
22,3.0,16707
23,3.0,15345
24,3.0,17633
25,4.17,35646.0
26,5.0,16801
27,5.0,47392
28,7.0,9073
29,8.0,20309
30,9.0,20931
31,9.0,11107
32,10.0,23326
33,10.0,23528
34,10.25,32889.0
35,11.53,16723.0
36,11.93,711.0
37,11.97,44392.0
38,12.42,39676.0
39,13.43,11371.0
40,13.67,13297.0
41,14.12,31618.0
42,14.87,22075.0
43,14.92,23390.0
44,15.0,22355.0
45,15.18,9541.0
46,15.82,10710.0
47,16.22,16033.0
48,17.67,19517.0
49,18.32,16594.0
50,20.87,21633.0
51,21.4,17750.0
52,23.4,19434.0
53,23.88,28344.0
54,24.1,11074.0
55,24.18,17400.0
56,26.47,23182.0
57,29.07,13818.0
58,29.28,19022.0
59,29.8,22536.0
60,30.42,40975.0
61,33.48,28785.0
62,34.75,13051.0
63,36.35,39556.0
64,37.73,21244.0
65,39.33,23424.0
66,39.5,35116.0
67,39.93,37897.0
68,40.05,22191.0
69,42.52,30933.0
70,42.63,18649.0
71,43.52,27870.0
72,49.88,34176.0
73,58.08,23317.0
74,66.15,48539.0
75,67.47,27520.0
76,69.22,28415.0
77,71.6,20788.0
78,78.78,38232.0
79,85.42,30080.0
80,86.42,42038.0
81,87.78,4992.0
82,94.98,18694.0
83,97.95,12898.0
84,98.25,51887.0
85,110.78,22328.0
86,113.1,29340.0
87,117.03,27787.0
88,123.1,25422.0
89,126.0,15033.0
90,126.98,47580.0
91,135.58,30637.0
92,139.75,47195.0
93,165.72,45271.0
94,172.85,22086.0
95,173.53,34914.0
96,173.58,52388.0
97,177.68,23846.0
98,178.6,21325.0
99,181.28,39377.0
100,181.82,44436.0
101,188.57,24644.0
102,190.58,30438.0
103,208.62,34310.0
104,211.4,10274.0
105,229.6,26813.0
106,239.2,31092.0
107,247.15,11795.0
108,250.03,18389.0
109,254.62,12735.0
110,265.42,52101.0
111,278.13,38180.0
112,283.87,67976.0
113,296.9,27745.0
114,303.5,33686.0
115,316.77,19750.0
116,319.93,8175.0
117,375.9,19245.0
118,379.62,13138.0
119,397.63,34625.0
120,398.88,14406.0
121,400.77,26006.0
122,448.02,34868.0
123,475.72,34853.0
124,481.27,55714.0
125,520.43,28862.0
126,542.1,21797.0
127,547.28,6400.0
128,591.47,4432.0
129,621.4,38415.0
130,774.95,10340.0
131,805.88,1549.0
132,927.58,11202.0
133,951.55,0.0
134,1119.18,0.0
135,1247.03,0.0
136,1271.8,1099.0
137,1784.37,0.0
138,4307.58,72247.0
