,0,1,2,3,4,5,6
0,0.030889044,0.032642853,0.05545414,0.09645916,0.71195203,0.04782455,0.02477823
1,0.6733917,0.07222903,0.07921043,0.059312746,0.035821557,0.03936734,0.04066716
2,0.05210069,0.04527904,0.042448238,0.041007653,0.03606535,0.7310939,0.05200515
3,0.045716543,0.051507153,0.050207764,0.092291944,0.63915086,0.08095805,0.040167622
4,0.056076836,0.058697157,0.096380904,0.60001636,0.06295499,0.10103489,0.02483887
5,0.02786276,0.035308745,0.041221566,0.05916594,0.029926592,0.6421148,0.16439962
6,0.04866556,0.06615175,0.67336327,0.063999645,0.06930866,0.043325044,0.03518615
7,0.052408554,0.046652034,0.04159641,0.07344996,0.6698188,0.071533956,0.044540342
8,0.036470555,0.046883427,0.07449641,0.7183532,0.049987283,0.047404718,0.026404468
9,0.07369653,0.038133662,0.060587052,0.6152231,0.032912478,0.102919474,0.07652771
10,0.04438933,0.6608744,0.12080781,0.055392895,0.03782998,0.049087286,0.031618267
11,0.7248426,0.039583247,0.04524289,0.07765409,0.055393476,0.0305756,0.026708152
12,0.03556899,0.59695876,0.2034991,0.050573967,0.04060888,0.03332894,0.03946139
13,0.04520047,0.052185282,0.6825096,0.050473228,0.0404689,0.04156828,0.087594174
14,0.0401862,0.06279137,0.6421969,0.10497796,0.02739568,0.09765978,0.02479213
15,0.061980397,0.06910672,0.06947799,0.07163021,0.05412781,0.6300058,0.043671027
16,0.043825287,0.16696645,0.059343647,0.60870916,0.046251558,0.039782807,0.035120986
17,0.83241373,0.025606865,0.02983753,0.038113505,0.03141132,0.022570185,0.020046905
18,0.077279754,0.63145673,0.0896419,0.054408144,0.05117954,0.060366023,0.03566788
19,0.08926615,0.08936227,0.5896159,0.078867465,0.052299026,0.06199317,0.038596015
20,0.053847037,0.03341575,0.052870736,0.652125,0.1544006,0.02698023,0.026360609
21,0.055415653,0.08144791,0.6928314,0.07374055,0.031652343,0.033889722,0.031022387
22,0.076853186,0.5628522,0.0697409,0.13602239,0.039780058,0.079649225,0.03510206
23,0.03662762,0.58385426,0.06375271,0.055273023,0.037989084,0.08339077,0.13911243
24,0.06368652,0.095125765,0.6229733,0.11149179,0.034867484,0.03925119,0.032603838
25,0.031951375,0.056446347,0.10386883,0.6629544,0.08266729,0.03429531,0.027816527
26,0.06634998,0.04236399,0.094715625,0.035783574,0.032364953,0.15058532,0.5778365
27,0.022107871,0.0350594,0.024244886,0.024464644,0.8560134,0.019335663,0.018774277
28,0.057613447,0.030778423,0.044732347,0.06764004,0.6981958,0.053706717,0.04733322
29,0.035135787,0.07446026,0.03657665,0.118413776,0.04504395,0.6632221,0.027147533
30,0.026924156,0.030095832,0.031070447,0.033073235,0.82025206,0.034903686,0.02368057
31,0.77012414,0.05330563,0.05271152,0.034172606,0.02993634,0.0329979,0.026751861
32,0.044790592,0.07370679,0.08362737,0.03429288,0.02695596,0.709924,0.026702352
33,0.030685578,0.029542875,0.066274434,0.044661354,0.77953446,0.025988052,0.023313273
34,0.033009607,0.03814677,0.04979812,0.04563078,0.0972543,0.68145394,0.0547065
35,0.026995428,0.028478242,0.030441713,0.67547584,0.15600114,0.039924555,0.042682968
36,0.03943921,0.045752797,0.035096683,0.7713844,0.045080677,0.03321698,0.030029278
37,0.043573126,0.12350604,0.70911574,0.04731727,0.024908211,0.02866383,0.022915713
38,0.07064107,0.58558273,0.04188453,0.16064338,0.08623447,0.028303932,0.026709883
39,0.037975963,0.7237558,0.058103696,0.10007495,0.026214788,0.030139955,0.023734713
40,0.072984554,0.06334561,0.094582856,0.6599381,0.03872777,0.03622636,0.03419477
41,0.55958956,0.046809737,0.08370974,0.14958915,0.07736032,0.05476805,0.028173393
42,0.03242903,0.059760407,0.043127123,0.06947729,0.03511878,0.7284363,0.031651076
43,0.11997282,0.04971838,0.083275534,0.5980427,0.04557969,0.06642681,0.036984086
44,0.06631767,0.66620356,0.12043661,0.03724475,0.043420747,0.039894823,0.026482005
45,0.043498248,0.036042865,0.6127633,0.056597237,0.03651497,0.17653255,0.038050853
46,0.03317552,0.7835325,0.071983606,0.03699597,0.023968222,0.027545106,0.02279901
47,0.034574702,0.15438879,0.065193474,0.64961946,0.026311383,0.044614542,0.02529758
48,0.09900236,0.6698085,0.0736625,0.06946103,0.030538866,0.031459857,0.026066868
49,0.05025311,0.6904087,0.09302296,0.05080966,0.047536988,0.041349366,0.026619222
50,0.51096374,0.05736406,0.054062866,0.13658486,0.055241667,0.10890716,0.076875634
51,0.027128635,0.033613477,0.2080721,0.63270974,0.035082668,0.032445367,0.030948035
52,0.033870712,0.06653553,0.6435821,0.08751923,0.03219577,0.10758049,0.028716212
53,0.03708415,0.03461693,0.050731942,0.66161096,0.0875804,0.103550196,0.024825482
54,0.03333964,0.033607513,0.07088268,0.13956028,0.6473893,0.045215707,0.030004986
55,0.7673781,0.024218839,0.02684793,0.025944376,0.025486475,0.09386572,0.036258627
56,0.034900792,0.0453659,0.047177605,0.6760495,0.046896804,0.11992662,0.029682858
